id;mensaje;fecha;tipo_remitente;tipo_receptor;estado
1;Integración Informática estructura;2022-07-10T05:21:02;Estratega turn-key;Kwanza EXE;pixel
2;Subida 24/7 Madera;2022-07-10T10:47:20;transmitter Morado efficient;Borders;Diseñador cliente payment
3;deploy recontextualize Bedfordshire;2022-07-10T09:30:09;Violeta;Cambridgeshire Director;redundant array
4;Bedfordshire invoice;2022-07-10T11:21:45;Refinado payment Arquitecto;Seychelles metódica Checking;Kong optical
5;Canada extend Aplicaciones;2022-07-10T15:14:40;Aldea;Rústico;Gerente Madera Violeta
6;dedicada wireless;2022-07-10T00:08:04;bypassing Pescado Moldavia;Clonado Convertible;FTP XML
7;deposit Tugrik;2022-07-10T02:31:00;Yuan action-items focus;backing;synthesizing Genérico
8;panel copy;2022-07-10T05:59:19;enable Hormigon;Amarillo;mission-critical COM Camiseta
9;open-source Buckinghamshire;2022-07-10T19:04:43;supply-chains bleeding-edge éxito;Asociado;Ladrillo
10;Reactivo Avon Rojo;2022-07-10T11:08:29;Genérico Verde;Polarizado;Jefe Auto
