id;nombre;descripcion;monto;tipo;fecha_inicial;fecha_final;beneficios;estado;num_inscripcion
1;Granito system alarm;Blanco;81923;Azul Pequeño;2022-07-10T10:56:42;2022-07-09T21:03:46;parsing quantifying;Borders;91909
2;capacitor;Calidad;49426;Negro;2022-07-10T00:15:17;2022-07-10T04:03:25;SDD Madera;adaptador Consultor;74535
3;Avon Algodón Nacional;Sorprendente Distrito incremental;58504;navigating ADP;2022-07-10T06:48:53;2022-07-09T23:52:50;Andalucía;Genérico copy;46486
4;transmitter Filipinas estatica;Canarias partnerships;39995;engage;2022-07-10T13:56:16;2022-07-10T05:06:27;Jefe Maldivas;Verde Ruanda Dollar;52048
5;circuit;Amarillo bleeding-edge;61056;solutions Fantástico;2022-07-10T10:43:41;2022-07-10T01:32:31;Investigación;reintermediate digital copy;29853
6;Rioja Cataluña;compress reinvent;23887;Configuración back-end;2022-07-10T17:18:40;2022-07-10T13:36:21;THX;Estratega visionary;74914
7;Lesotho;modular Avon overriding;54598;Rústico orchestrate Producto;2022-07-10T06:28:30;2022-07-10T02:44:29;initiatives schemas;Lesotho Castilla;18839
8;Asociado Barrio transmitting;Forint Account;8548;Parque Italia Berkshire;2022-07-10T05:16:02;2022-07-10T12:21:59;Avenida;Programa program;52355
9;Ghana override;Poblado world-class India;11933;technologies;2022-07-10T13:45:49;2022-07-10T17:20:40;Pasaje multiestado Account;index Edificio systems;60364
10;XML interfaz Account;AGP quantify;94853;Teclado Rústico Soluciones;2022-07-10T16:25:23;2022-07-10T10:18:45;de;Increible Salud;56115
